a[m],e[prop],i[rad],r[rad],o[rad],t[rad]
7.072890440e+06,3.941900000e-03,1.728540930e+00,1.159568830e+00,3.466391446e+00,5.524008970e+00
7.218523637e+06,5.002090000e-03,1.723496928e+00,1.891474397e+00,3.264107786e+00,3.019913534e+00
7.267044197e+06,1.452930000e-02,1.716627312e+00,4.051228589e+00,2.327002113e+00,4.505455763e+00
7.240165700e+06,1.570161000e-02,1.714030263e+00,3.681772057e+00,3.374107162e+00,3.111466525e+00
7.296441234e+06,1.127600000e-02,1.725704770e+00,3.240846037e+00,1.353867609e+00,6.042705116e+00
7.228849694e+06,5.243430000e-03,1.725352213e+00,1.923410432e+00,1.138254869e+00,5.588155056e+00
7.272174372e+06,1.095277000e-02,1.732968830e+00,2.167477274e+00,1.349994723e+00,5.457206493e+00
7.275314481e+06,1.312110000e-02,1.715395110e+00,1.279757438e+00,4.607948478e-01,2.178568842e+00
7.149943498e+06,1.047090000e-02,1.724245675e+00,5.619790894e+00,9.243298625e-01,2.274006936e+00
7.054966511e+06,3.604900000e-03,1.721196584e+00,2.996103752e+00,2.058971900e+00,4.757477816e+00
7.256938743e+06,9.907200000e-03,1.724481294e+00,1.143244765e+00,1.706008729e+00,9.637533597e-01
7.368087356e+06,1.887490000e-02,1.735599041e+00,1.914132261e+00,7.182588377e-01,5.591469437e+00
7.230077313e+06,2.906810000e-03,1.722817995e+00,1.269613584e+00,8.553282705e-01,5.943373192e+00
7.241859413e+06,8.079200000e-03,1.723638300e+00,1.079177219e+00,2.197830295e+00,4.100542867e+00
7.114339547e+06,1.165920000e-02,1.725627975e+00,4.553843271e-01,2.302899116e+00,4.197668695e+00
7.172394868e+06,6.693110000e-03,1.731302041e+00,1.744039454e+00,2.948129887e+00,4.303212245e+00
7.263884187e+06,1.440581000e-02,1.716578443e+00,4.200867883e+00,2.224889880e+00,5.114333071e+00
7.239307736e+06,1.289990000e-03,1.723050124e+00,1.337245093e+00,4.516667758e-01,6.961071189e-02
7.056727644e+06,1.794020000e-02,1.711398306e+00,1.150910251e+00,4.672382543e+00,1.577035879e+00
7.119857323e+06,2.356170000e-02,1.727666520e+00,4.946688960e+00,5.617069926e+00,2.742261321e+00
7.222586447e+06,1.216200000e-03,1.720290759e+00,7.967113876e-01,2.737180667e+00,1.183961551e-01
7.256153165e+06,1.143270000e-02,1.722908752e+00,5.131049835e+00,3.151902313e+00,5.246679643e+00
7.263931590e+06,1.906410000e-02,1.723383482e+00,7.016555206e-01,3.899740991e+00,5.160565098e+00
7.262438463e+06,7.290700000e-03,1.724983949e+00,1.122772053e+00,6.274545927e-01,2.265576995e+00
7.232478972e+06,3.729090000e-02,1.725460424e+00,1.984617383e+00,4.794325207e+00,1.730382252e+00
7.197370371e+06,2.666300000e-03,1.721056958e+00,8.528813189e-01,1.894785287e+00,7.447913330e-01
7.243097109e+06,5.920030000e-03,1.723730803e+00,1.788751298e+00,5.443317163e+00,1.333831229e+00
7.081751454e+06,1.935770000e-02,1.724741348e+00,3.053078281e+00,1.083142607e+00,5.236075022e+00
6.966482066e+06,8.815700000e-03,1.729352508e+00,9.202894253e-01,4.488428331e-01,5.844044759e+00
7.125320313e+06,1.672230000e-02,1.728432720e+00,3.352979951e+00,3.163468610e+00,3.638062031e+00
7.089071771e+06,1.530910000e-02,1.713613129e+00,2.681665234e+00,5.916161764e+00,1.407630731e+00
7.114471906e+06,2.010320000e-02,1.724882720e+00,1.666719622e-01,2.011464038e+00,6.022782183e-01
7.067518641e+06,1.055190000e-02,1.720215709e+00,2.605258210e+00,5.257057371e+00,1.460063912e+00
7.174128028e+06,1.928810000e-02,1.728513005e+00,4.547067903e+00,1.394401135e+00,5.480234367e+00
7.162304022e+06,1.671940000e-02,1.726718806e+00,5.638055765e+00,5.504463028e+00,7.574746407e-01
7.180865820e+06,7.572900000e-03,1.719596118e+00,1.010599742e+00,4.868681470e+00,4.124398027e+00
7.206382718e+06,8.585600000e-03,1.721667823e+00,1.736349533e+00,1.651605071e+00,4.923661086e+00
7.261336701e+06,8.417400000e-03,1.726285965e+00,9.395508789e-01,3.403015050e+00,5.563008353e+00
7.200093192e+06,1.170493000e-02,1.714728394e+00,4.903315783e+00,1.445575934e+00,1.367812789e+00
7.254072844e+06,8.237280000e-03,1.727945773e+00,2.497402099e+00,3.508254914e+00,3.259976591e+00
7.271541820e+06,1.062530000e-02,1.712558950e+00,5.896882857e+00,1.440547641e+00,6.444383917e-01
7.329049392e+06,1.426540000e-02,1.737880187e+00,1.773671654e+00,6.351305508e-01,4.158421476e-01
7.245577895e+06,1.328780000e-02,1.734340659e+00,1.256574230e+00,5.386470044e+00,3.785224703e+00
7.292501408e+06,1.579890000e-02,1.718414530e+00,3.051414982e+00,3.780749679e-01,5.918634896e+00
7.329932550e+06,1.466550000e-02,1.726744986e+00,3.785455087e+00,3.744202484e+00,3.128364803e+00
7.263982838e+06,1.774470000e-02,1.713660253e+00,6.172646624e+00,3.486595377e+00,4.924235300e+00
7.099124553e+06,2.512265000e-02,1.722324067e+00,2.713409283e+00,1.375778472e+00,5.468558115e+00
7.334427999e+06,1.940010000e-02,1.717836826e+00,1.031988752e+00,1.672732282e+00,4.651131414e+00
7.349112375e+06,1.996865000e-02,1.731523698e+00,2.767160188e+00,4.049834071e+00,5.301868699e+00
7.361903236e+06,2.933500000e-02,1.716351550e+00,4.277795015e+00,2.829300891e-01,6.018226873e+00
7.349299955e+06,2.241770000e-02,1.721077902e+00,1.507102281e+00,2.598426992e+00,4.704383155e+00
6.995122329e+06,1.118930000e-02,1.726488423e+00,5.911868254e+00,4.737565355e+00,4.644212929e+00
7.056379238e+06,1.937680000e-02,1.711220282e+00,7.507533777e-01,6.071091151e+00,1.330663456e+00
7.008629250e+06,1.944707000e-02,1.709347544e+00,1.815531630e+00,2.253036805e+00,4.585576848e+00
7.146292715e+06,8.702900000e-03,1.725765856e+00,6.140921775e+00,2.719692468e+00,6.243065424e+00
7.173160333e+06,1.197080000e-02,1.718653640e+00,4.926697959e-01,5.925165918e+00,3.003247385e+00
7.125879896e+06,5.589800000e-03,1.727553074e+00,2.845270653e-01,4.419437211e+00,4.609815980e+00
7.138983062e+06,2.364321000e-02,1.716410892e+00,1.275491853e+00,1.678868859e+00,4.653494590e+00
7.278040173e+06,9.292720000e-03,1.735532719e+00,4.908913054e+00,4.092273497e-02,2.614396754e+00
7.169707463e+06,9.975270000e-03,1.717013030e+00,5.468371365e+00,2.356704126e+00,4.163640010e-01
7.186980975e+06,8.168000000e-03,1.717274830e+00,1.879855740e+00,3.651637202e+00,2.820368295e+00
7.202294720e+06,6.177900000e-03,1.716033900e+00,1.845247606e+00,2.857016719e+00,3.647581057e+00
7.186695516e+06,4.651900000e-03,1.719831737e+00,1.095953324e+00,1.487596481e-01,2.560584763e+00
6.812233235e+06,2.991200000e-03,1.691951847e+00,3.953404630e+00,4.965809042e+00,1.313766924e+00
7.291777507e+06,2.294522000e-02,1.713829550e+00,5.754296439e+00,4.519299715e+00,4.480666852e+00
7.414015191e+06,2.897940000e-02,1.723119937e+00,4.153970886e-01,4.239743347e+00,4.776552520e+00
7.134511349e+06,4.260540000e-03,1.738271140e+00,1.767264550e+00,5.002101419e+00,1.844376687e+00
7.225077033e+06,1.174280000e-02,1.716733778e+00,6.102337781e+00,5.520322835e+00,3.450049928e+00
7.155521991e+06,2.863988000e-02,1.722788325e+00,2.469448905e+00,2.530217779e+00,4.292441818e+00
7.202969585e+06,2.736720000e-02,1.731235718e+00,4.452423934e+00,3.111639313e+00,3.175352557e+00
7.225068256e+06,1.538200000e-02,1.736250049e+00,3.159515440e+00,3.429151356e+00,3.196155137e+00
7.191666816e+06,1.601100000e-03,1.736066790e+00,3.251487310e+00,3.898643179e+00,2.384395520e+00
7.271612422e+06,6.152700000e-03,1.723212440e+00,1.017820169e+00,1.045926952e+00,1.625742782e+00
7.154960671e+06,1.845170000e-02,1.731012316e+00,3.688475867e+00,1.536528532e+00,5.307382194e+00
7.343810412e+06,1.719280000e-02,1.719966127e+00,2.593147371e+00,5.530803537e+00,1.083393935e+00
7.338192932e+06,1.690700000e-02,1.736171509e+00,1.982852855e+00,3.730719816e+00,4.688975388e+00
7.238817177e+06,2.994630000e-02,1.743283726e+00,3.050580714e+00,2.549964434e+00,4.228828058e+00
7.394017505e+06,2.388272000e-02,1.735176672e+00,5.375572208e+00,4.856307085e+00,3.541105501e+00
7.422890990e+06,2.988300000e-02,1.721411260e+00,4.770201267e+00,5.492086898e+00,1.237503017e+00
7.373857640e+06,4.264400000e-02,1.714459614e+00,7.254565756e-01,6.165989939e+00,2.744380150e+00
7.496668709e+06,3.521242000e-02,1.722109392e+00,3.561679442e+00,4.482539590e+00,1.733668707e+00
7.512435012e+06,3.796772000e-02,1.723554524e+00,3.814708550e+00,1.883678011e+00,2.508945706e-01
7.120953234e+06,2.086170000e-02,1.728423993e+00,1.777602135e+00,1.791732321e+00,4.534388086e+00
7.100532879e+06,3.443700000e-03,1.722671388e+00,2.880973108e+00,4.981621725e+00,1.297008272e+00
7.230384706e+06,8.189910000e-03,1.729677139e+00,2.215161415e+00,8.504064420e-01,1.416526674e-01
7.081499010e+06,4.032500000e-03,1.721428713e+00,2.889841126e+00,2.698608891e+00,4.063412733e+00
7.206497655e+06,2.505500000e-03,1.722760399e+00,1.766999260e+00,5.284757491e+00,1.372320975e+00
7.123233392e+06,3.933200000e-03,1.723222912e+00,2.768025871e+00,8.265530272e-02,8.631578176e-01
7.246174855e+06,6.391200000e-03,1.724247420e+00,9.749007776e-01,1.192796408e+00,6.050344422e+00
7.260985513e+06,3.469800000e-03,1.725024091e+00,1.498773570e+00,4.758989271e+00,1.820931679e+00
7.424453085e+06,2.721014000e-02,1.731204302e+00,1.285024842e+00,1.288580077e+00,6.136499110e+00
7.375383806e+06,2.242390000e-02,1.725701279e+00,4.808547896e+00,5.112736095e+00,4.416927427e+00
7.155573154e+06,1.507900000e-03,1.725186407e+00,2.506776262e+00,1.956411117e+00,4.526563775e+00
7.323743948e+06,1.384270000e-02,1.718936383e+00,3.612068843e+00,2.517398336e+00,4.235125206e+00
7.258394412e+06,1.256910000e-02,1.717250395e+00,4.674567695e+00,1.329658147e+00,4.979913048e+00
7.248645746e+06,4.473400000e-03,1.724182843e+00,1.109025840e+00,3.902851168e+00,5.068797431e+00
7.276708001e+06,9.386300000e-03,1.729998280e+00,2.022185595e+00,2.936783502e+00,3.352302764e+00
7.223664794e+06,1.658500000e-03,1.722442750e+00,1.147629032e+00,5.713143320e+00,3.475666126e+00
7.241227412e+06,2.776900000e-03,1.723217676e+00,1.217274651e+00,9.639994511e-01,1.057686980e-01
7.158006799e+06,2.499640000e-02,1.715510302e+00,7.913445002e-01,1.450441912e+00,1.164064798e+00
7.014350521e+06,1.543800000e-03,1.729205900e+00,1.609270365e+00,6.074368879e+00,1.278451932e+00
7.313008870e+06,1.417900000e-02,1.737963963e+00,1.462619074e+00,4.782872357e+00,3.768678982e+00
7.265909631e+06,1.326776000e-02,1.721406024e+00,5.836103511e+00,5.849137630e+00,6.892567016e-01
7.200345160e+06,1.628957000e-02,1.728544421e+00,5.290419339e+00,3.597924694e+00,5.543509534e+00
7.258310333e+06,3.091900000e-03,1.725271928e+00,1.615518644e+00,4.368307790e+00,3.202911306e+00
7.214083557e+06,3.690000000e-03,1.721486309e+00,1.187736699e+00,3.829362335e+00,5.136071147e+00
7.042334854e+06,6.262000000e-04,1.723407917e+00,2.920983036e+00,2.419719239e+00,4.815937620e+00
7.056537251e+06,1.004975000e-02,1.725987513e+00,1.950796393e+00,5.346222752e-01,5.760808262e+00
7.222909595e+06,1.507020000e-02,1.718250469e+00,2.051468729e+00,1.505870079e-01,9.666977301e-01
7.151886992e+06,1.132150000e-02,1.721891225e+00,3.017747581e+00,5.818400637e+00,4.567509199e-01
7.256823265e+06,3.222500000e-03,1.724346904e+00,1.362339437e+00,3.054621152e+00,3.520859681e+00
7.246064840e+06,3.455600000e-03,1.724558089e+00,8.311345164e-01,1.820818233e+00,1.023230690e+00
7.230313070e+06,6.523200000e-03,1.722886063e+00,9.953630177e-01,5.108529851e+00,4.050586308e+00
7.206758658e+06,7.272690000e-03,1.721276870e+00,1.147971117e+00,4.433260218e+00,3.062904484e+00
7.167451219e+06,4.991100000e-03,1.721358900e+00,2.172278675e+00,1.138649313e+00,5.155645015e+00
7.238577200e+06,3.612940000e-03,1.723126919e+00,1.127248823e+00,4.383132617e-01,6.160664939e+00
6.978421790e+06,1.633830000e-02,1.728069691e+00,5.614898737e-02,2.989399943e-02,6.256326435e+00
7.252579198e+06,3.152100000e-03,1.724147936e+00,1.413034270e+00,2.701003483e+00,1.593258714e-01
7.243248163e+06,8.130200000e-03,1.724156663e+00,8.684636185e-01,2.394511449e+00,2.922571286e-01
7.261134704e+06,3.882620000e-03,1.724887956e+00,1.526791340e+00,4.878341867e+00,1.900555345e+00
7.250433606e+06,8.512600000e-03,1.724959514e+00,7.645502055e-01,5.327547729e-01,2.117333965e+00
7.248335845e+06,2.516410000e-03,1.723688915e+00,1.264574819e+00,1.749950884e+00,4.973964966e+00
7.236238523e+06,3.373560000e-03,1.723214185e+00,1.536994535e+00,6.950983186e-01,6.111994687e+00
7.303553776e+06,1.076550000e-02,1.726938718e+00,7.610770003e-01,1.193138493e+00,1.613413776e+00
7.154446450e+06,7.430300000e-03,1.747807620e+00,1.920488750e+00,1.150573403e+00,5.148199440e+00
7.139943146e+06,6.834100000e-04,1.732508063e+00,2.541309347e+00,1.003456109e+00,5.800038028e+00
7.250570932e+06,5.369000000e-03,1.724106048e+00,1.502119366e+00,2.991375656e+00,3.494306242e+00
7.090763028e+06,3.372900000e-03,1.726446535e+00,3.330203405e+00,5.418660897e+00,1.920027983e+00
7.221948465e+06,5.572800000e-03,1.722058777e+00,1.251697780e+00,2.161558863e+00,4.132962358e+00
7.251021682e+06,4.332180000e-03,1.724392282e+00,1.531187825e+00,2.157225210e+00,4.622162439e+00
7.215216653e+06,9.287150000e-03,1.721297814e+00,7.420092782e-01,1.358072107e+00,5.206619101e+00
7.182299973e+06,7.573000000e-03,1.726877631e+00,5.381714022e+00,1.643117535e+00,4.657240067e+00
7.247065123e+06,1.105972000e-02,1.723852976e+00,1.135015538e+00,3.248319537e-01,1.321144431e-01
7.170818812e+06,5.226990000e-03,1.727771240e+00,5.328535585e+00,1.594190720e+00,6.040863794e-01
7.261649739e+06,1.315590000e-02,1.716899584e+00,4.471694114e+00,1.106369449e+00,5.202259268e+00
7.286424678e+06,1.442730000e-02,1.727329671e+00,9.100338706e-01,3.976673359e+00,5.059562894e+00
7.183568056e+06,3.980900000e-03,1.736407129e+00,4.755557954e+00,2.389915997e+00,3.900781208e+00
7.189363110e+06,7.601520000e-03,1.725390611e+00,2.371640654e+00,1.532676591e+00,1.101379552e+00
7.246712466e+06,9.050700000e-03,1.724601722e+00,8.261760360e-01,2.600884415e+00,1.199163369e-01
7.156370910e+06,4.430800000e-03,1.723755237e+00,2.522274786e+00,3.379995903e+00,3.315671793e+00
7.122527358e+06,9.054400000e-03,1.724617430e+00,6.112389132e+00,5.796966248e+00,2.513754088e+00
7.208716917e+06,2.204400000e-03,1.722191422e+00,1.702432550e+00,5.624595786e+00,1.793720251e+00
7.047324794e+06,6.434900000e-03,1.726455261e+00,1.361128178e+00,2.545637763e+00,1.178463764e-01
7.248673197e+06,5.786900000e-03,1.725189898e+00,1.018359476e+00,5.343273145e+00,3.626883197e+00
7.219736268e+06,4.729170000e-03,1.725900247e+00,2.498082777e+00,4.053246190e+00,2.743566827e+00
7.278634221e+06,1.139020000e-02,1.733618093e+00,1.774415164e+00,3.056647479e+00,3.603094360e+00
7.278149317e+06,2.686060000e-02,1.726547764e+00,9.577354644e-01,6.747373075e-01,2.185523979e+00
7.253271843e+06,1.288394000e-02,1.717321953e+00,4.814038701e+00,8.945388375e-01,1.751984192e+00
7.286037730e+06,7.564900000e-03,1.728731171e+00,1.895500871e+00,3.701417483e+00,3.682642976e+00
7.182743094e+06,1.058534000e-02,1.716800100e+00,1.379098088e+00,5.434100079e+00,1.329555172e+00
7.249952934e+06,8.814400000e-03,1.720173821e+00,3.920379510e+00,7.500290661e-01,6.060090341e+00
7.046854525e+06,1.216070000e-02,1.734937562e+00,4.385443433e+00,1.172442378e+00,9.909194095e-01
7.236343257e+06,2.870500000e-03,1.722790070e+00,1.261986496e+00,1.162738348e-01,2.737397088e+00
7.170407345e+06,2.562170000e-03,1.734674017e+00,2.311932940e+00,2.640981610e+00,4.159599573e+00
7.219575377e+06,8.218400000e-03,1.726062562e+00,5.428169451e+00,4.534539930e-01,1.639365077e+00
7.097428294e+06,1.196120000e-02,1.722491619e+00,2.890643978e+00,2.763329190e+00,4.095310370e+00
7.217436410e+06,1.233560000e-02,1.722254254e+00,6.332141793e-01,6.081130285e+00,2.853328838e+00
7.231878995e+06,8.798400000e-03,1.723268290e+00,9.187413182e-01,5.627189345e+00,3.372506695e+00
7.243759769e+06,4.029800000e-03,1.724099067e+00,1.644562668e+00,1.897050724e+00,4.395821161e+00
7.262607559e+06,1.300988000e-02,1.724722150e+00,1.554533349e+00,2.244598138e-01,2.828201333e-01
7.237582290e+06,1.313093000e-02,1.733089258e+00,1.725593069e+00,4.274707528e+00,2.498147354e+00
7.268208395e+06,8.055700000e-03,1.725968315e+00,1.186237461e+00,2.173704609e+00,6.857485898e-01
7.173427006e+06,6.600000000e-04,1.733047370e+00,2.175441212e+00,1.945050769e+00,4.341422739e+00
7.202326048e+06,1.871060000e-02,1.720645060e+00,7.250621312e-01,4.826037840e+00,4.218418914e+00
7.136926262e+06,3.849400000e-03,1.727048673e+00,2.399166242e+00,4.133142127e+00,2.624413199e+00
7.321843230e+06,1.421680000e-02,1.738119297e+00,6.249482999e-01,5.024310734e+00,3.969299343e+00
7.212558260e+06,3.903500000e-03,1.731848329e+00,4.246860800e+00,2.393017447e+00,4.410914768e+00
7.441241939e+06,3.448218000e-02,1.733286480e+00,2.756293768e-01,4.766778676e+00,1.449633825e+00
7.182976855e+06,6.228800000e-03,1.730956466e+00,5.656130395e+00,2.890624779e+00,5.482899485e+00
7.043883392e+06,3.882600000e-03,1.734431416e+00,4.563564755e-01,5.857084114e+00,3.064667267e+00
7.254263546e+06,6.750000000e-03,1.727973698e+00,1.986605313e+00,2.315290954e+00,3.979907455e+00
7.186500261e+06,7.313100000e-03,1.729111653e+00,4.435270838e+00,2.675589743e-02,4.193293154e-01
7.321459237e+06,1.355842000e-02,1.735752630e+00,1.973309395e+00,5.471971979e+00,1.222468751e+00
7.314210398e+06,1.276072000e-02,1.737918584e+00,1.400911213e+00,3.686466993e+00,3.113396860e+00
7.166213860e+06,3.674300000e-03,1.731886726e+00,1.163012364e+00,4.814188800e+00,1.671632724e+00
7.004819286e+06,4.475840000e-03,1.726148084e+00,1.373933659e+00,2.976018503e+00,4.370456291e+00
7.066851080e+06,2.158470000e-02,1.723385227e+00,1.883215499e+00,5.456499635e+00,7.973239982e-01
7.026478207e+06,1.141686000e-02,1.723458531e+00,2.574824904e+00,5.737867654e+00,1.052930958e+00
7.255944410e+06,1.822390000e-02,1.725242258e+00,1.073168050e+00,3.954481498e+00,5.025888511e+00
7.254933318e+06,7.383400000e-03,1.725134047e+00,8.565883983e-01,1.455653465e+00,1.250800680e+00
7.192819550e+06,6.835600000e-03,1.729078491e+00,4.706885957e+00,1.071794476e+00,2.028685201e+00
7.230693334e+06,4.615100000e-03,1.733017699e+00,4.462791189e+00,3.831969857e+00,2.960226764e+00
7.084722162e+06,1.744820000e-02,1.713086039e+00,8.714778021e-01,6.185446869e-02,2.276403273e+00
7.146484645e+06,1.141110000e-02,1.732637218e+00,5.928708936e+00,3.666037914e+00,5.282996454e+00
7.115200120e+06,1.889246000e-02,1.714712686e+00,1.470799433e+00,6.071016102e+00,6.622739113e-01
7.155704356e+06,1.726190000e-02,1.717292283e+00,5.760930435e-01,3.457909146e+00,5.512063937e+00
7.137970540e+06,2.547690000e-02,1.716997322e+00,7.943569384e-01,4.259303252e+00,4.890026846e+00
7.143523516e+06,3.393500000e-03,1.714466595e+00,1.270229686e+00,1.646381301e+00,8.327489460e-01
7.226123476e+06,3.420300000e-03,1.736005703e+00,2.966461080e+00,3.129776775e-01,1.030774003e-01
7.190307003e+06,2.805590000e-02,1.721285596e+00,2.721589641e+00,4.884926994e+00,1.345229974e+00
7.096599864e+06,7.780300000e-03,1.714119274e+00,5.897509430e+00,5.353661345e+00,9.191706692e-01
7.195555184e+06,9.266600000e-03,1.730905851e+00,1.707490514e+00,4.619219814e+00,2.735407413e+00
7.290913680e+06,1.264160000e-02,1.744039454e+00,3.871173442e+00,2.267887811e+00,4.385052479e+00
7.342234115e+06,1.878227000e-02,1.721969765e+00,4.867135108e+00,8.696312438e-01,1.899111958e+00
7.323398337e+06,1.686940000e-02,1.689911558e+00,6.271502073e+00,3.216503930e+00,5.304189987e+00
7.366745738e+06,2.896470000e-02,1.732986284e+00,1.450202802e+00,7.307012900e-01,2.181164146e+00
7.289726309e+06,3.300310000e-02,1.720610154e+00,3.971561290e+00,2.389734482e+00,4.465580226e+00
7.377868069e+06,2.760314000e-02,1.734213250e+00,1.560423835e+00,3.090286955e+00,4.435637357e+00
7.361962335e+06,2.969300000e-02,1.716149092e+00,4.117114768e+00,2.473550429e-01,6.051993758e+00
7.423680987e+06,2.884690000e-02,1.725696043e+00,2.115897559e+00,5.554725020e+00,1.046276017e+00
7.456430931e+06,3.146970000e-02,1.739253761e+00,1.071091109e+00,5.791686627e+00,3.197774802e+00
7.466876514e+06,3.279240000e-02,1.724903664e+00,8.049720310e-01,2.058762460e+00,5.901167641e-01
7.472491766e+06,3.445760000e-02,1.733366765e+00,4.900903738e+00,4.387029937e+00,5.094308909e+00
7.461184846e+06,3.678870000e-02,1.778064647e+00,3.184794789e+00,1.504716416e+00,5.352401217e+00
7.247011310e+06,4.847900000e-03,1.724055434e+00,1.162619665e+00,3.517164819e+00,5.455223799e+00
7.218263362e+06,3.113200000e-03,1.719704328e+00,6.123627307e-01,5.015427008e+00,3.922487868e+00
7.222723592e+06,6.449530000e-03,1.721964529e+00,1.184675391e+00,4.624705384e+00,2.093025019e+00
7.317476656e+06,1.306121000e-02,1.722557941e+00,4.692719120e-01,3.372342634e+00,2.906868558e+00
7.206317348e+06,1.186320000e-02,1.721620699e+00,8.390181687e-01,9.166748484e-01,1.744990658e+00
7.123601633e+06,1.508660000e-02,1.723690660e+00,5.367498315e+00,2.799190470e+00,5.653067342e+00
7.230314759e+06,1.906270000e-02,1.723421879e+00,7.930863388e-01,2.472058173e+00,3.837144758e+00
7.253637094e+06,4.829700000e-03,1.724573797e+00,6.835651829e-01,3.628403379e+00,5.335164345e+00
7.235155956e+06,3.279316000e-02,1.715222322e+00,1.975724931e+00,1.934819649e+00,4.937297344e+00
7.091452296e+06,3.900480000e-03,1.721830139e+00,2.806651753e+00,4.264020877e+00,2.514075229e+00
7.138129657e+06,5.489400000e-03,1.729225099e+00,3.696745237e+00,1.081299539e+00,5.213617871e+00
7.206282534e+06,5.454400000e-03,1.735164454e+00,6.464333030e-01,1.301635140e+00,1.340480933e+00
7.226369621e+06,9.363710000e-03,1.729977336e+00,2.212641159e+00,5.361173242e+00,9.091804046e-01
7.297801795e+06,9.033300000e-03,1.733968904e+00,1.927159399e+00,5.968933539e+00,4.959073817e-01
7.354976411e+06,1.739190000e-02,1.732188668e+00,7.694982139e-01,4.576186976e+00,4.389642695e+00
7.247481767e+06,2.239800000e-03,1.723613865e+00,1.272303137e+00,1.062844428e+00,1.614476682e+00
7.191170295e+06,5.150550000e-03,1.724835596e+00,2.343905627e+00,1.314623881e+00,5.475530705e+00
7.269032266e+06,8.784500000e-03,1.728172665e+00,1.990975618e+00,1.727813128e+00,4.809649198e+00
