a[m],e[prop],i[rad],r[rad],o[rad],t[rad]
7.125166253e+06,1.598500000e-03,1.507550831e+00,4.965636255e-01,5.341044360e+00,9.416505100e-01
7.005071164e+06,7.137000000e-04,1.507824847e+00,6.008086510e+00,6.021591868e+00,2.633527308e-01
7.004579041e+06,8.959100000e-04,1.507076101e+00,5.453981125e+00,5.842105699e+00,4.424444560e-01
6.997753913e+06,1.094360000e-03,1.507002797e+00,5.448439705e+00,5.934452815e+00,3.501165386e-01
7.097481280e+06,2.382740000e-03,1.507955747e+00,7.866181485e-01,5.161814753e+00,2.137787478e+00
6.919126249e+06,1.505830000e-03,1.506917276e+00,4.869735648e+00,2.109774944e+00,4.178157659e+00
7.131324225e+06,1.874500000e-03,1.507008033e+00,8.685631023e-02,6.207933691e+00,2.274623037e+00
7.201896594e+06,2.180260000e-02,1.508697512e+00,4.856083683e+00,5.333289862e-01,5.773730680e+00
6.947169205e+06,1.610100000e-03,1.506517596e+00,4.796246815e+00,2.720474376e+00,3.566182391e+00
7.113802180e+06,1.616710000e-03,1.506665949e+00,5.983028818e+00,5.901178112e+00,3.828973126e-01
7.124952593e+06,2.625910000e-03,1.507049921e+00,5.226039379e-02,6.157987604e+00,1.266306185e-01
7.024445141e+06,2.817800000e-03,1.505983525e+00,4.687736205e+00,5.199311407e+00,1.081020287e+00
7.116589845e+06,6.825000000e-04,1.507606681e+00,4.415525928e-01,4.990151150e+00,1.293819556e+00
7.012675912e+06,3.700100000e-04,1.507404223e+00,5.911203284e+00,2.034383701e+00,4.251592387e+00
7.050513011e+06,1.270200000e-03,1.507320447e+00,5.929890524e+00,1.717616914e+00,4.570200497e+00
7.097317865e+06,2.348400000e-03,1.507180821e+00,2.140105276e-01,5.578183990e+00,7.040605843e-01
7.043918107e+06,1.433000000e-04,1.507610172e+00,6.151392005e+00,2.445534404e+00,3.839954738e+00
7.080141496e+06,2.141400000e-03,1.507542104e+00,2.698575730e-01,4.333608899e+00,3.083111906e+00
7.097440818e+06,1.171600000e-03,1.507147660e+00,5.900546303e+00,3.303309626e+00,2.981605302e+00
7.098552349e+06,9.057430000e-03,1.506861426e+00,2.350328439e+00,3.839689448e+00,2.433919238e+00
7.130262181e+06,4.323600000e-03,1.505760123e+00,6.059318905e+00,3.216386993e+00,3.068257409e+00
7.115396370e+06,2.584470000e-03,1.506638023e+00,5.777161997e+00,4.478858690e+00,1.801396209e+00
7.178499842e+06,6.299240000e-03,1.506152822e+00,3.081326435e-01,5.575220421e+00,1.774886403e+00
7.086076460e+06,3.165400000e-04,1.506665949e+00,5.593071649e+00,2.551568392e+00,3.734077829e+00
7.100070098e+06,2.433900000e-03,1.507042940e+00,5.905352940e+00,3.484670279e+00,2.798986267e+00
7.076200454e+06,5.586200000e-03,1.500326913e+00,2.448927324e+00,5.294906581e+00,9.810705165e-01
7.087794968e+06,8.003400000e-04,1.507610172e+00,2.570625642e-01,2.529496958e+00,3.756718240e+00
7.196456305e+06,1.712939000e-02,1.507472291e+00,4.138514250e+00,1.921645904e+00,1.196714672e+00
6.935830701e+06,9.804000000e-04,1.507063884e+00,5.730223112e+00,2.112675681e+00,5.350586075e-01
7.118903178e+06,6.271000000e-04,1.507678240e+00,4.252651802e-01,3.376098583e+00,4.056644346e+00
7.149326281e+06,1.982718000e-02,1.505856116e+00,2.982968405e+00,1.782825906e+00,1.307707141e+00
7.128992409e+06,3.938100000e-03,1.505630969e+00,5.946841162e+00,2.833091746e+00,4.467379660e+00
7.068237014e+06,2.134100000e-03,1.506840482e+00,5.389466774e+00,1.412374536e+00,5.405389413e+00
6.936333010e+06,1.832430000e-03,1.506889351e+00,5.283040087e+00,2.121199869e+00,5.114443027e-01
7.100609168e+06,7.168000000e-04,1.507767252e+00,2.857191252e-01,5.182432328e+00,2.137630399e+00
7.116503357e+06,8.818440000e-03,1.506149331e+00,1.310190744e+00,5.560175683e+00,7.134748903e-01
6.965130118e+06,2.914600000e-03,1.506784631e+00,4.977469587e-01,1.317767218e+00,4.973198766e+00
